	class	name	lat	lon	address
210	Салон связи	Максимус	55.416596	37.835359999999994	просп. Академика Туполева, 2, микрорайон Авиационный, Домодедово, Россия
211	Салон связи	Билайн	55.77362900000001	37.608971000000004	Краснопролетарская ул., 2/4, Москва, Россия
212	Салон связи	Максимус	55.659344999999995	37.749264000000004	ул. Перерва, 43, корп. 1, Москва, Россия
213	Магазин электроники	Связной	55.102380000000004	38.75758	Россия, Московская область, Коломна, район Старая Коломна
214	Салон связи	Tele2	56.341795999999995	37.517746	Советская ул., 3, Дмитров, Россия
215	Салон связи	Мобильная электроника	55.792843000000005	37.787092	Первомайская ул., 42, Москва, Россия
216	Магазин электроники	Максимус	55.838131999999995	37.577121000000005	Локомотивный пр., 4, Москва, Россия
217	Магазин электроники	Цифроград	52.036201	113.493144	ул. Ленина, 125, Чита, Россия
218	Салон связи	Салон-магазин МТС	55.66065699999999	37.992309999999996	ул. Карла Маркса, 117/21, п. г. т. Красково, Россия
219	Салон связи	МегаФон	55.839199	37.527635	Михалковская ул., 13, Москва, Россия
220	Магазин электроники	Цифровой супермаркет DNS	53.200291	45.012091	ул. Плеханова, 19, Пенза, Россия
221	Салон связи	Цифровой	55.760003000000005	37.7517	ш. Энтузиастов, 31, стр. 40, Москва, Россия
222	Магазин электроники	Сеть техники	55.93855	98.020547	ул. Суворова, 7А, Тайшет, Россия
223	Магазин электроники	Мобильная электроника	55.658758999999996	37.429977	МКАД, 47-й километр, с20, Москва, Россия
224	Салон связи	Мобил элемент	55.74074399999999	37.552818	Резервный пр., 11, Москва, Россия
225	Магазин электроники	Moo-v-maker	55.693703	37.605849	Загородное ш., 6, корп. 1, Москва, Россия
226	Салон связи	Связной	55.8443	37.3836	Пятницкое ш., 18, Москва, Россия
227	Магазин электроники	Цифровой супермаркет DNS	55.80124300000001	38.976238	ул. Карла Либкнехта, 7, Орехово-Зуево, Россия
228	Салон связи	Джобс	56.127843000000006	40.402736	Большая Московская ул., 30, Владимир, Россия
229	Магазин электроники	Магазин дисков и электроники	54.639124	39.677163	Московское ш., 31А, Рязань, Россия
230	Магазин электроники	Mobi-900	55.723891	37.688557	Волгоградский просп., 32, корп. 8, Москва, Россия
231	Салон связи	Салон-магазин МТС	56.175662	36.99817	Красная ул., 22А, Солнечногорск, Россия
232	Магазин электроники	Bose Loewe	47.224068	39.727205	Большая Садовая ул., 120, Ростов-на-Дону, Россия
233	Салон связи	Магазин Xiaomi	50.494986	30.362239000000002	Берковецкая ул., 6Д, Киев, Украина
234	Салон связи	Евросеть	55.64025899999999	37.607919	Балаклавский просп., 5А, стр. 10, Москва, Россия
235	Салон связи	Tele2	55.199511	34.311853	Красноармейское ш., 23, Вязьма, Россия
236	Салон связи	Tele2	55.827643	37.443391	Тушинская ул., 16, стр. 2, Москва, Россия
237	Салон связи	Билайн	57.02721700000001	40.378391	Спортивная ул., 1, Комсомольск, Россия
238	Магазин электроники	М.Видео	59.931999999999995	30.359	Невский просп., 114-116, Санкт-Петербург, Россия
239	Салон связи	Телефон.ру	55.954092	38.056211	просп. Мира, 18, корп. 3, Фрязино, Россия
240	Салон связи	Bestdealers	55.74043100000001	37.504173	ул. Барклая, 6, Москва, Россия
241	Магазин электроники	VolkMaster Project	55.713294	37.570249	Лужнецкая наб., 2/4с1, Москва, Россия
242	Салон связи	Связной	55.727984	37.580088	Комсомольский просп., 24, стр. 1, Москва, Россия
243	Магазин электроники	Applemagnit.ru	55.743218999999996	37.506974	Багратионовский пр., 5, корп. 1, Москва, Россия
244	Магазин электроники	Антенный рай	59.922298	30.330911999999998	Гороховая ул., 77, Санкт-Петербург, Россия
245	Магазин электроники	Резерв	52.038222999999995	113.49679099999999	ул. Костюшко-Григоровича, 44, Чита, Россия
246	Салон связи	Tele2	55.891941	37.727284999999995	ул. Селезнёва, 33, Мытищи, Россия
247	Магазин электроники	Магаз-магаз.рф	55.664786	37.466609999999996	ул. Покрышкина, 11, Москва, Россия
