stop_id;stop_sequence;route_id;service_id;using_trip_id;using_trip_id__next;stop_id__using_trip_id;stop_id__using_trip_id__next;time
390;4;1802;3113148;1802_3113148_1_213;1802_3113148_11_213;390__Т70;391__Т70;1000.0
391;20;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;391__Т70;391__Т70;-999.0
391;5;1802;3113148;1802_3113148_1_213;1802_3113148_11_213;391__Т70;737__Т70;1000.0
737;21;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;737__Т70;737__Т70;-999.0
737;6;1802;3113148;1802_3113148_1_213;1802_3113148_11_213;737__Т70;15343__Т70;1001.0
15343;22;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;15343__Т70;15343__Т70;-999.0
15343;7;1802;3113148;1802_3113148_1_213;1802_3113148_11_213;15343__Т70;667__Т70;1013.0
667;30;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;667__Т70;667__Т70;-997.0
667;15;1802;3113148;1802_3113148_1_213;1802_3113148_11_213;667__Т70;668__Т70;998.0
668;31;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;668__Т70;668__Т70;-996.0
668;16;1802;3113148;1802_3113148_1_213;1802_3113148_10_213;668__Т70;379__Т70;941.0
379;33;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;379__Т70;1013__Т70;7.0
1013;37;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;1013__Т70;650__Т70;-43.0
650;8;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;650__Т70;651__Т70;2.0
651;9;1802;3113148;1802_3113148_10_213;141500016_1_11_1;651__Т70;1654__432;-684.0
1654;8;141500016;1;141500016_1_11_1;141500016_1_10_1;1654__432;911__432;-24.0
911;5;141500016;1;141500016_1_10_1;141500016_1_10_1;911__432;912__432;1.0
912;6;141500016;1;141500016_1_10_1;14150002_1_10_1;912__432;912__368;94.0
912;12;14150002;1;14150002_1_10_1;141500016_1_10_1;912__368;913__432;-93.0
913;7;141500016;1;141500016_1_10_1;14150002_1_10_1;913__432;913__368;95.0
913;13;14150002;1;14150002_1_10_1;141500016_1_10_1;913__368;914__432;-93.0
914;9;141500016;1;141500016_1_10_1;141500016_1_11_1;914__432;649__432;21.0
649;9;141500016;1;141500016_1_11_1;14150002_1_10_1;649__432;1689__368;60.0
1689;7;14150002;1;14150002_1_10_1;141500016_1_11_1;1689__368;1689__432;-58.0
1689;10;141500016;1;141500016_1_11_1;14150002_1_10_3;1689__432;1649__368;-20.0
1649;3;14150002;1;14150002_1_10_3;141500016_1_11_1;1649__368;1649__432;11.0
1649;4;141500016;1;141500016_1_11_1;14150002_1_10_1;1649__432;920__368;69.0
920;8;14150002;1;14150002_1_10_1;141500016_1_10_1;920__368;915__432;-84.0
915;8;141500016;1;141500016_1_10_1;14150002_1_10_1;915__432;1168__368;73.0
1168;4;14150002;1;14150002_1_10_1;14150002_1_10_1;1168__368;1166__368;-5.0
1166;2;14150002;1;14150002_1_10_1;14150002_1_10_1;1166__368;1167__368;2.0
1167;3;14150002;1;14150002_1_10_1;14150002_1_10_3;1167__368;1163__368;-44.0
1163;14;14150002;1;14150002_1_10_3;14150002_1_10_3;1163__368;1164__368;3.0
1164;15;14150002;1;14150002_1_10_3;14150002_1_10_3;1164__368;1165__368;1.0
1165;16;14150002;1;14150002_1_10_3;14150002_1_10_3;1165__368;1162__368;-6.0
1162;13;14150002;1;14150002_1_10_3;141500167_1_1_1;1162__368;15194__88;-261.0
15194;56;141500167;1;141500167_1_1_1;14150002_1_10_3;15194__88;15194__368;269.0
15194;17;14150002;1;14150002_1_10_3;141500302_1_10_2;15194__368;15194__488;135.0
15194;19;141500302;1;141500302_1_10_2;14150002_1_10_3;15194__488;1180__368;-162.0
1180;4;14150002;1;14150002_1_10_3;141500016_1_11_1;1180__368;1180__432;11.0
1180;5;141500016;1;141500016_1_11_1;14150002_1_10_3;1180__432;1181__368;-10.0
1181;5;14150002;1;14150002_1_10_3;141500016_1_11_1;1181__368;1181__432;11.0
1181;6;141500016;1;141500016_1_11_1;141500016_1_11_1;1181__432;1182__432;2.0
1182;7;141500016;1;141500016_1_11_1;14150002_1_10_3;1182__432;1172__368;-6.0
1172;8;14150002;1;14150002_1_10_3;14150002_1_10_3;1172__368;1173__368;1.0
1173;9;14150002;1;14150002_1_10_3;141500016_1_10_1;1173__368;1174__432;-24.0
1174;1;141500016;1;141500016_1_10_1;14150002_1_10_3;1174__432;1174__368;26.0
1174;10;14150002;1;14150002_1_10_3;141500016_1_10_1;1174__368;670__432;-22.0
670;3;141500016;1;141500016_1_10_1;141500016_1_10_1;670__432;671__432;1.0
671;4;141500016;1;141500016_1_10_1;14150216_1_10_1;671__432;1081__324;174.0
1081;19;14150216;1;14150216_1_10_1;141500252_1_1_1;1081__324;1081__554;-380.0
1081;44;141500252;1;141500252_1_1_1;141500164_1_10_1;1081__554;10722__73;775.0
10722;33;141500164;1;141500164_1_10_1;141500272_1_10_1;10722__73;4991__660;-275.0
4991;23;141500272;1;141500272_1_10_1;141500272_1_10_1;4991__660;1079__660;3.0
1079;24;141500272;1;141500272_1_10_1;141500176_1_10_3;1079__660;1079__190;-118.0
1079;21;141500176;1;141500176_1_10_3;141500216_1_10_1;1079__190;1079__391;-75.0
1079;14;141500216;1;141500216_1_10_1;141500193_1_10_2;1079__391;1233__311;141.0
1233;12;141500193;1;141500193_1_10_2;141500193_1_10_2;1233__311;1234__311;3.0
1234;13;141500193;1;141500193_1_10_2;141500193_1_10_1;1234__311;1215__311;-18.0
1215;9;141500193;1;141500193_1_10_1;141500193_1_10_1;1215__311;1216__311;2.0
1216;10;141500193;1;141500193_1_10_1;14150002_1_10_1;1216__311;1687__368;-152.0
1687;5;14150002;1;14150002_1_10_1;141500227_1_1_1;1687__368;1493__451;-283.0
1493;37;141500227;1;141500227_1_1_1;141500227_1_10_1;1493__451;1493__451;761.0
1493;1;141500227;1;141500227_1_10_1;141500227_1_10_1;1493__451;8406__451;5.0
8406;3;141500227;1;141500227_1_10_1;141500240_1_10_1;8406__451;8406__500;187.0
8406;20;141500240;1;141500240_1_10_1;141500227_1_10_1;8406__500;1685__451;-186.0
1685;4;141500227;1;141500227_1_10_1;141500240_1_10_1;1685__451;1685__500;187.0
1685;21;141500240;1;141500240_1_10_1;141500227_1_10_1;1685__500;1554__451;-178.0
1554;6;141500227;1;141500227_1_10_1;141500227_1_10_1;1554__451;843__451;-13.0
843;2;141500227;1;141500227_1_10_1;141500227_1_10_1;843__451;1553__451;8.0
1553;5;141500227;1;141500227_1_10_1;141500227_1_1_1;1553__451;10196__451;-792.0
10196;25;141500227;1;141500227_1_1_1;141500227_1_1_1;10196__451;1548__451;2.0
1548;26;141500227;1;141500227_1_1_1;141500227_1_1_1;1548__451;861__451;2.0
861;27;141500227;1;141500227_1_1_1;141500240_1_10_1;861__451;861__500;975.0
861;24;141500240;1;141500240_1_10_1;141500227_1_1_1;861__500;9118__451;-973.0
9118;28;141500227;1;141500227_1_1_1;141500240_1_10_1;9118__451;9118__500;975.0
9118;25;141500240;1;141500240_1_10_1;141500227_1_1_1;9118__500;1693__451;-973.0
1693;29;141500227;1;141500227_1_1_1;141500240_1_10_1;1693__451;1693__500;975.0
1693;26;141500240;1;141500240_1_10_1;141500227_1_1_1;1693__500;1495__451;-974.0
1495;30;141500227;1;141500227_1_1_1;141500240_1_10_1;1495__451;1495__500;975.0
