trip_id;short_name
758_3114291_1_301;157
758_3114291_10_301;157
758_3114291_10_303;157
1264_3114402_11_201;49
1264_3114402_11_203;49
1264_3114402_1_201;49
1264_3114402_10_201;49
1264_3114402_10_203;49
1264_3114402_38_203;49
768_3113848_10_302;34
768_3113848_10_304;34
813_3113869_11_305;803
813_3113869_11_203;803
813_3113869_11_304;803
813_3113869_7_302;803
813_3113869_11_301;803
813_3113869_11_302;803
813_3113869_10_301;803
813_3113869_10_203;803
813_3113869_12_203;803
830_3113954_10_302;610
830_3113954_10_301;610
830_3113954_10_306;610
830_3113954_10_305;610
830_3113954_10_303;610
830_3113954_13_303;610
830_3113954_13_302;610
830_3113954_11_305;610
830_3113954_11_304;610
830_3113954_11_303;610
830_3113954_11_302;610
830_3113954_11_301;610
1226_3114478_10_301;857
1226_3114478_11_204;857
1226_3114478_10_202;857
1226_3114478_10_204;857
1226_3114478_20_206;857
1226_3114478_10_708;857
254_3114405_11_202;1
254_3114405_11_201;1
254_3114405_10_806;1
254_3114405_10_204;1
254_3114405_10_201;1
254_3114405_10_202;1
254_3114405_1_201;1
1982_3114225_11_301;472
1982_3114225_15_301;472
1982_3114225_11_702;472
1982_3114225_11_703;472
1982_3114225_10_301;472
1982_3114225_10_702;472
1704_3114010_11_208;950
1704_3114010_11_310;950
1704_3114010_5_309;950
1704_3114010_11_309;950
1704_3114010_12_208;950
1704_3114010_10_310;950
1704_3114010_2_208;950
1704_3114010_10_208;950
1704_3114010_11_303;950
1704_3114010_13_303;950
1704_3114010_11_302;950
1704_3114010_11_301;950
1704_3114010_10_302;950
1704_3114010_10_301;950
1877_3114105_11_202;Т73
1877_3114105_10_203;Т73
1877_3114105_10_201;Т73
1877_3114105_10_202;Т73
1877_3114105_14_225;Т73
1877_3114105_10_204;Т73
1877_3114105_11_203;Т73
1877_3114105_11_201;Т73
412_3115186_13_202;176
412_3115186_15_202;176
412_3115186_11_303;176
412_3115186_11_202;176
412_3115186_11_301;176
412_3115186_10_202;176
412_3115186_12_301;176
412_3115186_10_301;176
1968_3115105_10_301;КМ
1968_3115105_10_306;КМ
1968_3115105_10_304;КМ
1740_3114944_10_209;Т18
1740_3114944_10_213;Т18
1740_3114944_10_203;Т18
1740_3114944_10_201;Т18
1740_3114944_10_211;Т18
1740_3114944_11_208;Т18
1740_3114944_11_211;Т18
1740_3114944_11_201;Т18
1740_3114944_11_203;Т18
258_3114742_11_207;14
258_3114742_11_206;14
258_3114742_11_109;14
258_3114742_11_202;14
258_3114742_13_202;14
258_3114742_11_204;14
258_3114742_10_202;14
258_3114742_10_109;14
258_3114742_10_206;14
178_3114558_11_202;159
178_3114558_11_203;159
178_3114558_11_301;159
178_3114558_12_202;159
178_3114558_2_301;159
178_3114558_10_301;159
178_3114558_10_202;159
178_3114558_12_203;159
178_3114558_10_203;159
238_3114877_10_301;Вч
238_3114877_12_301;Вч
238_3114877_10_302;Вч
2087_3115049_10_303;М96
2087_3115049_10_305;М96
2087_3115049_10_301;М96
2087_3115049_10_306;М96
2087_3115049_11_301;М96
2087_3115049_10_304;М96
2087_3115049_10_302;М96
2090_3115054_10_306;М97
2090_3115054_11_301;М97
2090_3115054_10_304;М97
2090_3115054_12_308;М97
2090_3115054_10_301;М97
2090_3115054_10_712;М97
