id;lat;lon;x;y;source_name;info;station_name;exit_name
528;55.6213608;37.6077169;4186471.895205589;7483405.614723276;data.mos;Нет информации;Южная;Южная, вход-выход 1 в южный вестибюль
532;55.6235439;37.6090425;4186619.4603225845;7483836.012888937;data.mos;Нет информации;Южная;Южная, вход-выход 1 в северный вестибюль
530;55.6209851;37.6090099;4186615.831307184;7483331.547885651;data.mos;Нет информации;Южная;Южная, вход-выход 3 в южный вестибюль
534;55.623323;37.6098201;4186706.022358625;7483792.4613638185;data.mos;Нет информации;Южная;Южная, вход-выход 3 в северный вестибюль
474;55.7662971;37.6364478;4189670.204363621;7512031.994970491;data.mos;Нет информации;Сретенский бульвар;Сретенский бульвар, вход-выход 1 в вестибюль
572;55.7715912;37.6207183;4187919.204433189;7513079.645489018;data.mos;Нет информации;Цветной бульвар;Цветной бульвар, выход из вестибюля
578;55.7940228;37.5897883;4184476.092582953;7517520.21871768;data.mos;Нет информации;Савёловская;Савёловская, вход-выход 3 в вестибюль
579;55.7939837;37.5899754;4184496.9204596803;7517512.476233097;data.mos;Нет информации;Савёловская;Савёловская, вход-выход 4 в вестибюль
580;55.7938965;37.5902811;4184530.9508280153;7517495.209134352;data.mos;Нет информации;Савёловская;Савёловская, вход-выход 5 в вестибюль
581;55.7936152;37.5900074;4184500.482683385;7517439.507163035;data.mos;Нет информации;Савёловская;Савёловская, вход-выход 6 в вестибюль
587;55.8190858;37.5749218;4182821.161373074;7522484.7317290865;data.mos;Нет информации;Тимирязевская;Тимирязевская, вход-выход 2 в вестибюль
588;55.8189829;37.5743134;4182753.4345948757;7522464.342621485;data.mos;Нет информации;Тимирязевская;Тимирязевская, вход-выход 3 в вестибюль
429;55.6201443;37.7432401;4201558.268820264;7483165.792147562;data.mos;Нет информации;Шипиловская;Шипиловская, вход-выход 2 в южный вестибюль
242;55.6055443;37.5348837;4178364.1404687446;7480288.107423782;data.mos;Нет информации;Ясенево;Ясенево, вход-выход 3 в южный вестибюль
240;55.6061274;37.5351978;4178399.1059208023;7480403.016882599;data.mos;Нет информации;Ясенево;Ясенево, вход-выход 1 в южный вестибюль
244;55.6066073;37.5329575;4178149.716865578;7480497.590363241;data.mos;Нет информации;Ясенево;Ясенево, вход-выход 1 в северный вестибюль
246;55.6065836;37.5314215;4177978.73012772;7480492.919797444;data.mos;Нет информации;Ясенево;Ясенево, вход-выход 3 в северный вестибюль
245;55.6068801;37.5316246;4178001.3391163;7480551.351340691;data.mos;Нет информации;Ясенево;Ясенево, вход-выход 2 в северный вестибюль
247;55.606294;37.5312065;4177954.7964371997;7480435.84847032;data.mos;Нет информации;Ясенево;Ясенево, вход-выход 4 в северный вестибюль
243;55.6056622;37.5343397;4178303.5826657526;7480311.341422845;data.mos;Нет информации;Ясенево;Ясенево, вход-выход 4 в южный вестибюль
241;55.6062454;37.5346237;4178335.1974011376;7480426.270933924;data.mos;Нет информации;Ясенево;Ясенево, вход-выход 2 в южный вестибюль
571;55.77174;37.620712;4187918.5031203963;7513109.093606832;data.mos;Нет информации;Цветной бульвар;Цветной бульвар, вход в вестибюль
120;55.8000529;37.5341845;4178286.3058807817;7518714.377144804;data.mos;Нет информации;Аэропорт;Аэропорт, выход из южного вестибюля
179;55.6099419;37.7172912;4198669.650485618;7481154.769077532;data.mos;Нет информации;Домодедовская;Домодедовская, вход-выход 4 в северный вестибюль
181;55.610644;37.716669;4198600.387498447;7481293.145171215;data.mos;Нет информации;Домодедовская;Домодедовская, вход-выход 6 в северный вестибюль
